start	end	text
0	3360	Name the 10 cities from their satellite images.
3360	5160	Three strikes and you lose.
8680	10140	Okay, it's European.
16120	20040	Looks Russian with water west.
22440	23760	St. Petersburg?
23760	24600	That's correct.
24600	25440	Okay.
31000	34000	That's just Table Mountain, Cape Town.
34000	35000	Correct.
40000	41000	Number three?
41000	42000	San Francisco.
42000	43000	You can see the Golden Gate Bridge.
43000	44000	Yeah.
51000	53000	Wow, there's a lot of parks.
54000	56000	Looks kind of British.
56000	58000	Water east.
59000	60000	Is it Newcastle?
60000	62000	It is not Newcastle.
62000	66000	Water east, that's right on the ocean with a big port.
72000	73000	Oh, is it Dublin?
73000	74000	Yes.
74000	75000	Okay.
77000	83000	There's water on both sides with a river coming through the middle.
89000	94000	Looks European.
97000	98000	Why does it look so...
98000	101000	Okay, it kind of looks like Amsterdam, but it's not Amsterdam.
101000	102000	Okay.
102000	103000	Oh, I see the bridge going to...
103000	104000	Is it Copenhagen?
104000	105000	Yes.
105000	108000	I see the little tunnel bridge thing that's going to Sweden.
109000	110000	That's Bangkok.
110000	111000	Yes.
111000	112000	You can see all the patties.
112000	114000	Okay, next one.
116000	117000	Rio de Janeiro.
117000	119000	You can see the Copacabana Beach.
123000	125000	Okay, this one is number eight.
127000	129000	Desert City.
130000	132000	Looks like Arabic-ish.
134000	136000	Some sort of wadi on the southwest.
136000	138000	Ocean on the east.
139000	140000	Not many options this could be.
140000	141000	Tunis?
141000	142000	Yeah.
142000	143000	Okay, Tunis-Tunisia.
143000	146000	I was going to say, you've been to Tunisia, so you should know that one.
148000	150000	Next one, number nine.
152000	154000	Water west, very dense.
156000	158000	Looks Southeast Asian.
159000	161000	Wow, it's so dense.
163000	164000	Is it Manila?
164000	165000	Yeah.
165000	166000	Okay.
167000	168000	Ooh, the pressure.
168000	171000	Yeah, okay, so here's the last one.
173000	174000	That's Venice.
174000	176000	Yeah, that was an easy last one.
177000	178000	Okay.
